species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
,,41.6,18.88,173.15,5098.2,
,,55.75,21.03,205.42,4664.95,
,,33.8,13.42,216.34,4107.27,
,,49.45,16.45,194.96,3536.93,
,,48.74,14.24,208.08,6264.78,
,,58.95,19.7,223.21,5365.3,
,,58.3,18.91,206.16,4011.33,
,,54.11,18.59,184.01,4332.76,
,,49,14.57,229.77,4549.98,
,,35.83,20.64,216.83,4512.85,
,,43.91,17.08,224.92,2768.78,
,,48.9,16.51,173.36,3768.55,
,,38.6,15.31,207.96,5940.83,
,,39.12,20.97,224.8,5421.43,
,,36.69,20.12,211.04,4644.21,
,,59.07,20.23,222.35,2976.5,
,,43.22,15.85,176.52,5698.4,
,,51.44,16.06,215.91,4640.22,
,,42.49,19.79,188.18,3009.29,
,,41.22,17.36,196.19,6277.61,
,,59.55,19.11,191.69,5937.18,
,,57.78,18.12,195.52,4721.52,
,,40.34,16.02,194.8,5464.65,
,,57.47,20.62,211.88,5856.92,
,,58.3,21.28,201.92,4745.29,
,,38.35,18.98,206.34,4842.49,
,,32.74,18.89,228.51,3737.36,
,,37.74,13.32,205.61,6040.09,
,,51.87,19.84,175.66,5551.47,
,,40.53,18.64,225.76,5052.99,
,,57.65,13.49,223.12,3536.45,
,,50.94,17.04,193.79,4185.24,
,,46.92,16.59,203.24,3501.88,
,,52.85,15.67,208.21,4419.42,
,,47.93,13.63,212.71,5049.52,
,,53.08,14.02,179.96,4584.4,
,,38.14,14.09,206.16,6135.97,
,,35.38,19.32,178.81,4339.21,
,,45.62,18.92,187.73,3213.43,
,,55.69,13.68,213.7,3769.76,
,,43.23,17.62,178.07,3145.51,
,,39.79,20.24,185.67,5452.08,
,,45.67,13.87,199.42,2868.81,
,,33.13,17.69,211.2,4444.97,
,,48.64,14.16,197.26,4863.9,
,,32.41,18.2,217.48,4004.61,
,,45.27,20.53,209.86,3500.75,
,,53.9,19.86,214.99,6071.6,
,,58.96,13.96,218.96,5394.32,
,,58.37,14.4,187.12,5156.94,
,,46.6,17.16,175.07,5744.65,
,,56.97,14.73,177.15,5334.56,
,,48.94,19.13,201.88,5022.83,
,,43.4,14.84,185.72,4779.09,
,,32.21,19.36,179.65,2914.46,
,,51.83,18.87,210.94,4183.15,
,,50.9,20.22,206.87,3916.02,
,,42.29,18.92,202.49,3133.22,
,,46.16,16,222.03,6005.81,
,,41.53,15.46,230.55,4958.11,
,,45.99,15.59,177.83,3818.48,
,,35.63,21.31,209.96,6040.83,
,,34.01,16.31,213.44,5425.86,
,,48.79,15.44,229.52,4189.26,
,,34.05,18.66,229.52,4293.22,
,,34.93,21.43,199.78,4054.27,
,,38.61,21.09,227.08,5741.43,
,,32.19,13.14,212.41,4907.77,
,,50.16,14.19,209.7,5040.14,
,,47.13,15.6,183.83,5335.67,
,,58.43,14.76,203.78,4353.07,
,,32.72,15.95,194.7,2757.91,
,,50.24,14.17,189.52,2755.38,
,,37.81,13.23,208.69,5567.57,
,,42.13,16.77,214.85,6069.12,
,,52.63,16.8,173.31,2806.95,
,,43.54,18.2,213.85,4491.86,
,,52.1,14.44,212.9,4718.21,
,,37.67,13.43,214.3,4729.86,
,,59.02,20.88,196.18,3652.28,
,,38.05,17.28,202.78,3655.68,
,,41.6,17.94,226.33,4375.47,
,,37.42,14.19,179.73,5214.97,
,,35.12,19.69,194.34,6186.69,
,,33.51,16.43,225.25,3140.56,
,,35.83,17.71,192.92,4116.19,
,,43.55,14.68,191.97,2727.71,
,,51.56,21.35,224.44,6084.18,
,,52,19.68,207.24,2838.64,
,,42.54,19.07,175.3,5184.45,
,,52.6,20.23,177.88,3465.3,
,,49.51,19.69,210.75,4343.47,
,,44.99,13.81,224.18,5209.26,
,,35.43,21.3,224.07,5563.16,
,,40.87,15.71,216.35,5463.71,
,,48.9,21.26,224.43,3712.63,
,,37.62,13.48,217.37,3741.75,
,,43.85,19.48,217.5,5238.23,
,,49.25,13.2,189.03,5818.48,
,,46.88,18.24,208.38,5578.34,
,,33.98,20.42,204.6,4143.99,
,,51.62,21.41,183.16,2760.18,
,,43.11,18.1,182.23,4127.37,
,,48.52,18,208.11,3566.17,
,,50.62,21.35,176.86,5676.01,
,,56.08,14.96,192.03,5636.31,
,,49.36,16.89,204.56,3296.33,
,,45.78,19.51,209.29,4618.44,
,,54.14,15.17,218.72,5850.02,
,,57.88,20.73,202.28,5846.77,
,,44.59,14.26,204.12,5636.78,
,,40.68,19.8,194.25,5794.19,
,,47.32,17.82,184.69,4792.08,
,,43.03,17.76,225.92,3145.84,
,,34.25,19.04,211.81,3191.51,
,,56.64,13.82,186.68,6041.84,
,,42.89,19.8,195.4,5801.75,
,,51.27,18.44,225.29,2775.83,
,,36.96,20.34,174.29,3424.3,
,,43.46,14.73,181.61,6088.06,
,,58.44,16.12,218.84,3064.17,
,,51.35,20.16,219.21,4213.34,
,,55.67,17.41,225.4,3767.21,
,,55.5,14.13,189.21,4780.76,
,,32.52,18.75,224.4,5633.08,
,,46.46,16.04,178.36,4138.86,
,,32.18,17.75,230.12,4857.86,
,,45.79,21.31,214.8,3447.62,
,,43.55,19.55,219.58,5993.77,
,,32.53,15.62,230.31,5853.27,
,,49.21,16.19,182.1,4858.36,
,,43.29,15.67,201.28,3297.75,
,,39.14,16.01,202.82,6050.63,
,,35.02,14.11,210.76,5054.81,
,,39.11,21.46,200.06,3298.94,
,,52.6,14.4,192.9,4707.52,
,,49.74,19.15,220.65,2816.26,
,,42.37,20,183.97,4244.52,
,,45.58,14.27,172.62,4345.31,
,,44.02,17.9,224.94,5126.05,
,,58.83,15.06,174.49,3214.72,
,,38.38,14.7,224.53,2745.9,
,,57.65,17.37,192.95,3755.16,
,,58.94,14.13,199.28,5926.86,
,,52.13,13.61,188.58,3919.32,
,,55.71,20.14,186.42,5174.01,
,,36.27,15.09,173.96,3216.66,
,,56.64,13.88,218.02,3277.92,
,,36.81,19.61,219.27,3560.39,
,,40.18,15.4,184.31,3983.6,
,,52.82,17.52,203.5,5524.04,
,,39.32,16.42,192.29,4984.76,
,,35.83,21.42,199.29,6027.29,
,,42.04,15.73,217.73,4681.74,
,,57.42,18.26,228.75,3029.98,
,,47.35,15.11,181.23,3626.75,
,,47.15,20.98,190.4,4537.87,
,,38.62,15.24,212.13,4366.78,
,,56.98,15.3,198.81,4092.46,
,,57.81,16.5,178.02,5887.63,
,,39.08,19.47,174.87,6019.13,
,,32.38,13.11,184.3,3507.83,
,,45.97,13.69,194.66,5935.52,
,,54.96,18.7,222.54,4390.03,
,,48.71,18.94,198.41,5625.27,
,,40.75,16.59,202.2,4498.55,
,,39.05,13.67,213.02,3828.48,
,,52.16,20.44,177.55,3385.71,
,,58.31,14.72,181.71,6237.14,
,,50.54,19.51,222.09,2825.06,
,,40.1,17.82,228.27,3183.4,
,,39.27,15.05,207.15,2898.83,
,,58.72,14.35,202.82,3119.87,
,,43.07,20.31,194.66,4405.24,
,,39.22,20.25,193.28,6109.18,
,,46.76,13.8,183.83,2964.08,
,,46.75,14.47,184.08,3960.98,
,,46.67,13.4,193.86,5494.54,
,,54.27,21.31,191.11,4572.6,
,,52.06,17.77,195.81,3547.08,
,,56.29,17.69,227.85,3034.3,
,,35.07,13.64,198.23,4721.26,
,,50.58,19.59,177.37,4106.89,
,,35.15,17.19,182.95,4518.09,
,,41.83,17.08,185.09,5867.82,
,,42.39,17.14,184.78,3259.15,
,,34.68,14.49,213.97,2710.05,
,,56.63,21.44,184.5,3878.88,
,,51.82,16.76,212.79,4440.84,
,,40.52,18.75,217.03,3795.88,
,,59.59,19.11,192.99,5286.07,
,,35.01,13.94,180.37,3542.21,
,,58.26,15.08,179.26,3393.44,
,,38.82,21.3,204.58,3864.56,
,,47.9,17.24,187.94,5858.97,
,,41.4,18.51,204.11,4377.18,
,,37.59,16.33,179.16,5776.34,
,,51.97,18.14,229.5,4035.8,
,,39.24,16.09,205.12,5714.98,
,,36.34,20.03,228.28,4271.88,
,,40.85,17.76,226.78,3814.79,
,,35.27,19.22,210.74,5159.49,
,,50.54,17.05,195.35,4339.36,
,,54.79,20.59,226.16,4900.01,
,,54.25,20.61,202.93,2901.14,
,,58.32,17.3,219.05,4003.29,
,,50.25,18.92,187.83,6299.75,
,,50.77,13.54,226.05,5382.72,
,,55.34,17.02,211.81,2836.26,
,,55.15,14.86,198.19,6135.34,
,,42.11,17.55,219.82,6287.04,
,,55.57,14.03,206.93,4614.54,
,,33.82,15.58,189.14,6142.97,
,,34.1,15.35,206.86,4597.83,
,,46.64,16.24,185.59,4001.55,
,,49.75,15.16,215.25,2703.83,
,,58.93,16.58,177.13,3990.5,
,,57.37,17.61,224.72,4019.57,
,,39.91,13.35,182.78,5734.21,
,,42.25,15.32,211.13,3072.76,
,,36.75,21.08,196.91,4580.68,
,,48.06,17.21,190.32,4744.96,
,,38.9,15.98,201.99,4051.04,
,,45.62,13.88,194.5,4389.63,
,,36.44,20.01,209.09,5693.28,
,,36.34,18.32,202.84,3569.05,
,,41.97,14.04,186.28,3906.48,
,,39.33,17.59,222.94,4340.32,
,,51.79,17.2,185.52,4990.22,
,,46.62,17.32,209.88,3981.46,
,,51.4,13.23,183.35,3345.49,
,,32.93,17.85,172.29,3115.42,
,,34.28,17.42,204.47,5368.54,
,,57.15,19.27,215.3,3508.65,
,,55.81,16.06,191.13,5591.09,
,,42.3,18.49,226.92,3617.4,
,,36.84,17.9,186.1,6057.73,
,,53.17,19.25,216.27,3308.51,
,,41,14.07,201.48,5883.49,
,,37.84,17.21,224.71,5293.55,
,,40.83,13.89,199.51,6253.14,
,,57.45,14.27,204.84,2947.22,
,,58.08,21.35,216.28,3337.67,
,,39.51,17.26,183.64,3085.32,
,,46.86,13.11,192.34,2748.26,
,,37.6,18.41,208.81,3488.12,
,,44.15,17.91,175.06,3975.4,
,,36.45,20.3,195.64,3818.99,
,,55.85,21.34,192.03,3858.31,
,,56.79,14.64,222.99,3813.08,
,,55.83,18.83,215.87,5391.17,
,,35.8,15.67,223.76,5649.42,
,,46.51,16.14,173.3,3409.23,
,,47.71,13.73,224.83,4882.87,
,,40.21,19.64,184.15,3591.76,
,,44.3,18.9,216.63,5860.04,
,,32.63,17.28,230.64,4779.54,
,,57.48,16.55,211.94,5807.82,
,,56.94,20.3,188.35,3673.29,
,,48.03,18.04,215.2,3622.41,
,,54.08,15.43,222.18,5217.5,
,,34.46,15.1,172.42,5564.04,
,,58.94,20.4,206.3,5119.99,
,,55.54,13.85,177.81,5010.66,
,,36.16,17.54,173.72,4091.85,
,,54.77,16.86,196.04,5625.79,
,,54.58,16.96,197.28,2720.51,
,,33.05,20.8,201.39,4612.13,
,,41.81,15.47,219.03,4242.53,
,,53.16,20.59,227.99,3351.1,
,,55.58,18.01,187.61,4932.83,
,,58.43,14.45,180.79,4729.84,
,,57.65,16.34,220.64,3648.34,
,,47.64,15.33,212.3,5879.92,
,,41.63,13.55,216.46,2806.33,
,,55.62,18.94,213.37,4121.91,
,,47.43,13.95,213.75,5347.57,
,,32.9,17.76,224.9,4196.88,
,,52.62,14.04,205.97,3894.95,
,,54.78,20.76,188.33,2782.78,
,,46.21,16.73,206.58,5131.71,
,,42.14,16.96,182.69,3722.95,
,,51.36,16.82,218.11,6042.78,
,,57.38,14.4,204.8,4636.67,
,,32.9,17.96,195,5250.47,
,,58.17,20.5,179.27,5712.79,
,,46.35,20.74,183.42,4713.77,
,,45.07,15.69,204.35,3115.26,
,,47.94,21.07,194,5708.18,
,,40.52,19.67,221.68,5253.54,
,,52.09,18.06,198.61,4974.34,
,,40.35,18,193.35,3068.49,
,,43.81,18.1,213.92,5843.26,
,,50.58,19.59,217.28,4421.39,
,,42.84,14.25,204,5414.46,
,,35.96,14.17,195.31,5579.84,
,,48.75,18.22,217.32,6056.56,
,,43.49,19.97,225.04,3055.74,
,,34.15,16.39,172.38,4519.97,
,,38.64,21.27,176.89,5495.61,
,,35.74,18.4,194.48,4487.27,
,,56.78,17.91,197.04,4957.79,
,,55.57,16.91,195.81,3946.73,
,,50.37,17.98,209.76,3461.07,
,,42.1,16.92,229.18,5986.1,
,,39.34,19.43,194.63,3281.97,
,,32.35,15.06,179.6,4736.07,
,,32.98,14.96,194.6,4790.83,
,,46.52,15.32,174.62,5770.94,
,,49.01,21.11,173.01,5496.45,
,,36.3,15.69,219.84,3552.66,
,,35.32,15.8,191.89,6252.37,
,,44.74,18.66,223.22,5391.28,
,,35.32,18.13,192.79,4667.01,
,,54.55,19.73,200.4,3181.32,
,,55.72,16,184.64,4111.35,
,,50.21,15.22,181.65,3082.11,
,,43.12,15.62,208.78,3640.16,
,,36.17,14.86,212.16,5529.79,
,,45.45,13.98,196.45,4880.67,
,,48.69,16.63,179.77,4215.38,
,,56.71,16.04,216.26,5758.67,
,,46.24,20.69,223.03,4506.72,
,,34.24,19.01,192.24,4055.99,
,,32.89,14.36,229.34,6047.46,
,,54.3,16.55,210.63,5982.74,
,,45.41,16.04,227.58,3540.5,
,,34.66,21.17,195.38,4118.01,
,,54.73,15.6,209.31,3487.35,
,,47.04,13.64,211.37,4974.06,
,,41.3,15.77,216.61,3170.55,
,,57.66,13.38,205.61,6031.23,
,,44.96,20.31,187.47,5410.58,
,,39.93,20.56,201.84,4786.45,
,,57.93,20.76,197.92,6160.15,
,,53.89,15.94,194.09,2886.09,
,,36.87,13.62,191.38,3211.18,
,,48.51,19.49,195.28,5277.68,
,,59.49,13.8,223.86,5161.68,
,,46.39,17.07,181.93,3017.56,
,,37.69,18.77,219.98,5838.76,
,,36.17,20.18,196.63,4343.63,
,,39.98,13.53,227.06,4584.46,
,,37.41,20.18,174.77,4455.99,
,,54.71,20.51,204.05,5386.83,
,,35.88,14.81,185.45,3344.17,
,,39.13,17.85,192.68,3865.1,
,,55.14,14.39,216.29,3673.71,
,,44.08,15.61,214.46,3565.35,
,,52.41,20.76,215.8,3727.49,
,,33.18,16.14,189.05,2949.01,
,,32.27,14.2,205.94,2966.01,
,,34.7,16.65,182.39,3552.29,
,,53.35,15.09,175.58,6219.78,
,,54.68,14.41,222.89,5436.31,
,,59.23,13.95,193.99,5042.33,
,,57.56,16.24,189.47,4944.23,
,,54.98,16.86,210.79,2830.04,
,,55.99,21.39,202.98,5282.14,
,,51.1,19.18,219.15,4878.63,
,,38.79,13.14,206.55,4759.4,
,,54.45,20.86,218.88,3450.72,
,,57.96,21.01,196.12,4154.97,
,,37.16,18.77,190.29,6143.69,
,,33.05,18.59,221.35,5264.18,
,,52.13,14,180.08,4377.35,
,,50.48,15.24,216.48,5665.43,
,,39.76,15.05,213.63,5652.59,
,,34.12,13.84,214.88,5078.64,
,,33.17,19.35,175.28,5767.36,
,,37.81,15.22,202.04,4569.27,
,,49.76,16.09,178.57,4178.11,
,,47.26,16.5,224.65,5243.77,
,,42.43,13.21,198.01,4344.44,
,,44.49,20.76,209.79,5146.39,
,,40.7,13.67,186.08,3640.43,
,,57.21,16.35,205.86,5858.94,
,,53.1,13.12,204.5,2852.36,
,,49.97,20.47,229.58,6076.49,
,,50.63,14.36,201.64,3194.47,
,,40.59,16.33,211.68,4124.78,
,,57.36,17.68,225.82,5909.64,
,,51.61,19.74,172.57,4080.41,
,,47.2,19.96,192.86,3390.65,
,,33.57,17.8,191.09,5906.94,
,,41.97,15.64,209.06,4856.82,
,,39.86,19.92,213.91,4896.26,
,,58.26,16.73,227.97,3288.43,
,,33.21,15.77,199.26,4286.23,
,,46.38,18.12,176.58,3721.41,
,,46.92,14.6,213.54,2976.37,
,,38.16,16.45,181.03,5140.23,
,,49.65,16.5,173.25,4453.82,
,,57.27,14.47,189.9,3311.13,
,,57.1,15.82,174.65,2993.91,
,,38.32,16.56,204.03,3988.92,
,,32.69,15.33,197.08,3792.61,
,,34.8,14.65,191.04,5564.43,
,,57.33,18.19,174.42,4219.71,
,,41.48,14.7,191.66,4316.74,
,,39.53,21.36,185.79,5037.04,
,,48.09,16.98,229.35,4801.68,
,,36.5,15.19,207.53,3032.15,
,,41.12,17.58,224.66,5386.53,
,,39.21,17.43,215.1,5226.33,
,,34.21,17.29,227.31,6104.17,
,,47.1,13.58,228.3,5250.59,
,,48.05,17.8,208.59,3699.01,
,,45.73,14.87,192.76,4550.4,
,,36.72,21.4,219.65,5253.53,
,,59,16.95,175.42,4088.78,
,,34.39,16.85,195.21,2749.54,
,,38.91,14.59,196.74,3789.86,
,,38.17,15.52,227.56,5017.83,
,,42.01,17.9,192.33,3234.59,
,,48.38,14.51,215.5,2739.65,
,,49.36,16.03,188.84,3491.2,
,,51.27,14.53,208.53,4855.51,
,,52.02,14.54,190.73,3216.77,
,,49.32,20.09,179.28,6195.79,
,,53.21,20.5,223.3,3772.76,
,,56.42,16.21,181.09,3601.83,
,,48.18,18.22,219.6,5060.62,
,,44.34,20.28,220.42,3416.59,
,,46.64,18.23,185.35,5054.81,
,,53.19,19.93,224.77,3028.36,
,,37.77,19.79,199.12,6018.89,
,,39.9,20.95,227.45,2928.87,
,,40.09,17.67,192.85,5662.55,
,,41.97,14.97,209.47,4864.93,
,,56.91,17.69,174.41,4366.43,
,,44.71,21.11,197.5,3149.16,
,,52.55,19.85,205.88,4109.87,
,,36.71,13.19,214.05,5345.68,
,,37.66,18.2,201.81,3555.52,
,,33.7,20.52,200.33,3371.52,
,,39.32,19.05,196.24,2873.78,
,,54.24,14.69,187.26,3696.52,
,,37.23,18.57,224.43,5535.56,
,,51.42,20.18,194.39,6129.39,
,,48.86,16.2,179.17,4346.62,
,,39.34,19.65,200.36,5476.89,
,,50.66,18.72,219.97,3107.95,
,,53.55,20.48,187.46,5214.7,
,,45.12,16,226.47,4588.63,
,,52.89,13.46,207.63,6217.11,
,,57.92,14.49,229.93,5447.33,
,,44.58,19.58,201.96,5479.8,
,,59.36,19.86,227.74,5043.09,
,,50.97,13.33,183.07,4572.59,
,,33.49,16.29,215.81,5243.37,
,,49.34,18.49,216.06,3817.9,
,,49.06,13.53,200.1,3055.72,
,,54.27,18.92,230.73,6201.12,
,,41.71,14.62,184.84,2947.96,
,,54.22,13.6,214.04,4062.78,
,,57.74,19.38,221.32,2804.97,
,,39.78,13.43,218.65,5044.2,
,,43.58,19.18,176.07,2701.44,
,,36.07,16.86,216.38,4975.27,
,,34.56,19.98,175.57,5367.73,
,,40.09,17.63,226.45,5003.07,
,,33.75,13.62,209.51,3002.46,
,,37.7,13.31,230.92,3049.06,
,,58.98,14.07,182.03,4812.56,
,,36.79,16.1,216.87,5367.94,
,,44.54,19.75,194.72,5198.27,
,,56.22,16.66,200.31,4931.07,
,,49.11,18.31,175.95,3530.41,
,,38.94,14.55,182.31,6104.02,
,,43.61,16.9,180.78,4761.55,
,,52.41,13.49,198.28,3161.13,
,,34.66,21.07,215.15,5135.32,
,,41.96,20.71,198.87,2867.18,
,,53.07,17.86,194.15,4306.53,
,,41.01,18.94,216.09,3441.18,
,,40.31,13.54,204.14,3495.99,
,,43.93,21.49,218.69,4720.9,
,,48,15.86,177.86,2790.25,
,,52.13,20.58,192.44,3265.97,
,,38.49,19.88,177.46,5861.62,
,,46.21,18.46,220.36,3528.03,
,,33.24,13.75,191.2,3004.9,
,,35,18.79,213.76,2725.68,
,,33.29,13.12,221.95,6170.51,
,,37.67,20.36,188.51,5490.31,
,,32.93,18.21,218.96,5487.89,
,,54.91,20.92,224.88,5082.4,
,,32.3,17.83,191.15,4123.38,
,,34.78,14.52,219.95,3389.99,
,,46.43,15.69,191.83,2963.81,
,,35.33,20.2,173.38,2748.49,
,,46.5,18.97,177.4,2865.54,
,,53.39,16.1,217.34,4638.04,
,,49.33,15.16,197.15,4246,
,,49.79,13.33,184.72,4117.08,
,,56.29,21.47,219.29,3221.24,
,,51.88,20.05,213.13,5346.76,
,,55.86,16.2,193.14,4449.27,
,,44.03,15.57,212.39,5777.18,
,,39.13,20.68,193.41,4266.79,
,,40.37,19.76,178.3,4371.58,
,,46.59,21.08,220.91,5610.78,
,,40.28,20.29,179.12,3382.25,
,,51.05,17.45,187.51,4927.32,
,,35.9,16.45,218.27,5062.1,
,,36.75,16.74,194.95,3142.01,
,,42.33,21.25,197.98,5454.34,
,,42.19,16.83,204.92,3862.27,
,,57.46,17.53,214.11,5190.01,
,,32.38,13.58,199.31,5843.39,
,,37.34,14.54,216.38,5829.25,
,,48.69,17.97,226.1,6064.94,
,,41.31,14.47,209.14,2986.33,
,,47.76,14.96,199.3,3224.12,
,,34.98,14.61,172.48,5323.91,
,,39.49,16.28,206.53,4466.69,
,,55.97,18.58,197.7,5230.98,
,,52.04,19.36,194.14,4176.76,
,,57.38,20.15,202.41,3574.27,
,,36.8,17.62,186.73,3207.68,
,,50.2,19.17,172.35,2749.6,
,,50.8,18.04,195.08,5078.37,
,,57.8,20.72,186.71,3925.42,
,,55.61,17.62,213.8,4480.31,
,,43.13,19.25,203.18,4470.91,
,,57.93,16.16,190.72,4092.91,
,,52.18,16.69,181,5603.47,
,,32.45,13.7,202.94,5211.62,
,,56.64,21.34,208.19,2801.55,
,,37.24,19.65,224.89,3278.2,
,,44.54,18.77,192.41,5308.73,
,,51.36,13.35,200.5,4789.98,
,,38.99,14.71,190.42,3059.35,
,,54.66,16.81,180.87,3361.28,
,,37.1,18.36,175.77,5439.63,
,,56.54,21.05,191.33,5596.93,
,,47.68,21.01,210,3379.61,
,,43.33,19.56,195.92,4524.53,
,,34.6,18.14,173.28,3604.49,
,,42.77,15.92,194.56,3714.73,
,,51.88,15.29,217.51,4370.26,
,,57.84,17.32,191.35,3704.12,
,,33.01,13.25,207.51,6106.43,
,,33.51,14.58,193.46,4944.21,
,,57.49,20.9,211.02,4134.89,
,,59.53,13.71,230.31,6233.06,
,,51.22,16.87,180.5,4547.3,
,,50.74,20.08,230.06,3038.3,
,,36.78,18.75,189.96,4696.01,
,,59.15,18.79,209.94,5438.46,
,,53.88,13.34,183.25,6046.06,
,,55.95,19.62,214.73,2703,
,,32.83,14.32,216.72,5476.49,
,,45.26,20.02,220.28,4752.88,
,,58.86,13.56,224.27,3288.9,
,,34.91,13.25,196.01,4067.52,
,,50.45,20.9,176.68,4680.71,
,,56.82,14.65,173.8,4047.59,
,,53.89,19.36,211.37,5487.08,
,,40.82,17.95,225.4,6135.88,
,,48.24,14.32,199.01,4563.57,
,,33.91,19.12,198.2,3801.06,
,,58.24,19.03,204.65,5904.04,
,,46.04,20.73,183.22,3150.01,
,,41.62,18.95,188.33,5625.49,
,,34.43,19.69,198.93,5308.24,
,,57.36,16.72,187.08,3199.31,
,,36.62,15.19,179.89,5291.28,
,,48.59,18.64,190.48,4725.83,
,,36.57,20.89,196.87,3268.65,
,,48.18,14.16,195.34,3639.74,
,,32.72,20.66,202.25,4460.24,
,,50.32,17.71,221.99,2708.45,
,,54.05,20.12,214.06,4691.79,
,,40.43,16.96,222.58,3064.18,
,,49.22,16.32,226.53,5119.22,
,,35.88,17.94,205.4,5746.18,
,,56.38,20.19,204,5736.51,
,,42.29,16.59,193.52,5602.18,
,,39.34,18.78,203.09,4563.57,
,,44.77,20.5,186.35,5449.83,
,,39.72,16,215.42,5103.63,
,,42.39,20.68,197.55,3759.49,
,,50.88,17.62,218.06,2917.92,
,,44.02,17.91,216.56,5153.66,
,,59.23,14.74,215.12,4640.52,
,,35.07,17.44,213.58,4900.65,
,,52.91,19.58,208.56,3023.68,
,,58.46,13.74,201.29,3995.27,
,,44.43,16.94,205.13,4601.22,
,,36.42,21,227.43,4617.08,
,,47.01,20.48,219.06,5142.06,
,,57.9,18.99,224.16,6114.37,
,,38.26,19.79,205.47,5899.42,
,,54.92,16.56,224.59,3266.1,
,,32.33,16.23,189.83,5226.31,
,,44.9,20.38,195.21,5992.1,
,,54.5,19.9,213.01,3246.54,
,,43.89,13.5,221.69,5483.71,
,,53.96,15.34,213.44,5588.6,
,,58.42,19.79,209.95,5294.22,
,,33.82,19.47,182.35,4907.96,
,,53.95,14.84,222.37,4784.54,
,,39.72,20.17,173.45,3886.06,
,,50.98,16.17,180.66,4336.14,
,,34.54,15.95,222.03,5160.12,
,,58.84,13.25,200.34,3739.97,
,,53.96,14.54,185.06,4470.78,
,,34.39,18.03,222.2,5291.07,
,,33.39,13.65,186.35,3507.78,
,,48.82,18.53,211.47,3668.4,
,,34.89,15.24,222.71,2865.15,
,,57.47,17.96,210.09,5118.22,
,,40.82,15.5,230.16,5605.6,
,,46.8,18.93,214.63,6182.1,
,,47.47,18.79,225.98,3378.28,
,,52.93,13.87,172.03,3418.53,
,,58.78,20.36,200.87,5866.67,
,,57.79,14.7,207.46,6091.5,
,,45.49,19.19,215.13,6250.88,
,,38.57,17.85,176.44,5597.14,
,,49.53,18.12,207.68,3625.08,
,,41.95,19.12,176.71,4939.49,
,,46.01,17.38,174.89,2925.13,
,,53.08,18.01,222.31,5682.67,
,,32.8,16.46,196.61,3468.51,
,,57.76,16.43,212.59,4102.82,
,,34.37,17.06,218.2,3208.51,
,,32.97,17.84,184.44,5525.15,
,,33.57,15.63,195.89,4969.72,
,,35.81,16.53,196.74,2960.81,
,,37.3,17.94,223.75,4449.68,
,,33.76,15.99,228.66,4910.88,
,,35.53,19.48,194.87,3159.45,
,,50.97,16.34,174.87,3118.11,
,,49.93,14.05,229.42,2943.6,
,,57.98,13.83,229.91,5004.55,
,,58.44,17.23,210.71,4916.58,
,,51.27,18.45,183.53,5163.24,
,,48.76,17.8,230.5,5640.09,
,,53.68,14.21,187.48,6182.54,
,,33.06,13.6,190.47,4132.72,
,,52.56,20.62,212.79,4399.41,
,,50.11,19.14,217.55,5193.62,
,,59.38,14.29,177.74,2800.09,
,,53.03,20.45,206.36,5360.41,
,,47.25,17.51,197.82,3577.21,
,,54.07,13.69,183.02,2971.22,
,,33.16,19.99,178.34,5918.34,
,,51.16,19.13,196.06,3150.23,
,,35.16,20.13,208.9,6018.76,
,,46.64,13.11,186.11,4422.2,
,,59.41,18.71,201.71,2721.71,
,,36.69,19.68,198.72,6261.64,
,,50.24,15.61,218.57,4587.34,
,,43.61,14.19,203.28,4199.56,
,,41.04,21.33,173.48,5207.78,
,,32.84,18.96,201.41,3759.63,
,,34.86,18.18,229.74,4948.78,
,,41.27,14.89,193.59,2935.63,
,,32.81,14.79,172.46,4594.17,
,,57.15,15.24,216.42,3500.47,
,,50.73,21.33,185.49,4008.8,
,,35.73,20.65,217.65,6237.52,
,,41.97,15.12,201.03,3699.53,
,,35.82,14.01,219.04,2756.54,
,,32.53,18.19,190.52,3153.07,
,,57.63,19.77,203.71,3270.28,
,,55,19.08,200.3,3700.96,
,,40.59,16.47,229.75,4687.7,
,,32.13,20.97,211.45,3406.5,
,,41.1,13.18,192.42,6115.08,
,,40.34,20.07,203.8,5246.88,
,,37.98,14.46,228.95,4848.14,
,,53.5,13.94,210.27,3940.74,
,,33.62,17.08,219.51,4142.17,
,,51.51,19.42,178.89,3928.29,
,,57.11,15.3,172.11,3106.54,
,,35.83,16.65,228.06,3296.34,
,,38.86,20.46,194.42,6231.39,
,,51.73,14.39,214.85,6144.99,
,,32.56,13.44,229.71,4864.7,
,,56.36,20.96,221.07,6261.73,
,,55.95,15.47,188.28,5037.93,
,,48.36,18.55,199.07,4545.15,
,,42.72,15.4,197.89,5691.29,
,,50.77,17.77,226.45,5834.41,
,,41.74,17.54,175.27,3390.06,
,,55.32,13.35,224.55,3196.55,
,,47.8,15.58,230.13,5804.22,
,,37.82,14.44,174.62,3642.77,
,,34.25,19.78,212.86,5207.53,
,,44.33,18.5,209.1,4323.51,
,,55.11,21.22,202.99,3213.1,
,,37.65,17.58,215.99,3451.8,
,,50.33,19.64,187.67,2750.23,
,,40.01,15.25,225.01,4352.47,
,,49.16,20.57,208.61,3144.48,
,,57.45,17.7,176.22,3966.63,
